x,y
0,0
111,476
40,361
234,223
196,169
271,486
102,355
445,396
414,154
63,256
420,304
231,160
357,499
254,223
88,9
179,54
485,121
132,200
11,411
438,261
124,138
140,178
274,44
257,9
171,83
358,99
159,120
298,221
90,244
177,377
186,68
497,383
175,79
340,29
186,254
445,153
399,308
93,159
369,360
353,339
458,311
391,313
227,6
185,455
363,300
39,41
93,400
368,179
338,287
239,293
31,381
466,239
71,412
101,369
195,10
489,106
73,3
385,172
407,222
102,414
355,10
327,60
88,31
127,86
158,141
396,137
192,343
112,97
311,164
219,132
129,86
20,4
119,202
129,194
265,168
357,44
271,11
218,487
446,415
166,330
218,8
186,414
47,65
68,367
198,202
46,44
492,439
309,209
363,284
443,58
321,356
142,492
457,279
139,436
409,304
126,191
327,479
428,485
432,181
154,357
48,158
497,266
140,476
130,349
297,75
348,82
157,366
493,387
199,393
490,353
145,270
488,271
257,77
316,489
420,174
344,399
323,350
99,393
419,302
89,393
124,232
231,421
149,346
102,433
216,267
458,319
201,344
474,35
378,439
58,89
472,129
72,145
325,220
160,147
458,204
11,72
60,313
233,369
378,113
320,287
415,86
190,12
249,421
267,250
319,125
16,34
98,188
131,147
271,359
273,138
226,58
430,88
388,191
197,338
400,396
424,345
113,287
274,427
227,184
323,16
404,100
268,330
61,277
5,469
237,275
350,349
206,339
293,255
175,348
294,82
264,263
305,351
23,250
76,351
451,130
431,49
226,312
199,167
290,390
8,355
350,281
208,24
299,490
388,205
212,116
210,447
434,188
46,426
37,297
398,172
293,401
479,99
6,398
194,472
455,306
77,217
65,93
50,34
448,409
279,417
198,258
95,291
267,391
240,36
195,190
404,128
271,218
57,304
95,370
222,311
2,394
336,412
110,300
167,489
20,93
74,490
101,391
471,138
465,458
314,372
50,15
195,335
388,28
201,21
325,113
257,242
428,141
243,486
333,451
245,417
251,397
472,328
42,315
383,232
413,323
216,409
481,397
255,464
118,281
495,463
87,337
220,448
260,240
233,388
62,86
121,307
387,233
414,86
451,9
121,492
122,257
429,370
455,416
49,450
428,327
400,178
329,306
41,167
206,56
105,271
218,15
272,335
90,107
228,385
267,182
377,315
397,347
29,139
54,422
167,80
29,320
188,416
304,440
263,360
372,374
438,158
305,150
499,273
26,58
281,216
426,134
332,355
125,332
172,108
291,478
321,229
218,189
134,62
258,140
164,428
458,167
86,258
378,282
306,333
89,397
159,25
183,300
50,73
50,304
256,103
227,36
347,345
478,64
369,119
164,132
173,158
66,377
367,155
28,188
340,410
104,386
3,365
80,161
36,155
237,242
469,254
84,69
179,205
307,369
226,37
252,206
414,215
13,140
196,107
289,2
220,63
457,229
423,57
350,257
70,389
208,270
126,88
375,209
148,285
73,485
413,428
307,103
408,209
282,473
68,73
295,291
104,463
347,467
323,117
297,423
231,148
214,440
381,118
422,164
367,300
30,113
287,244
444,12
445,35
130,483
303,254
393,89
411,405
419,8
459,61
51,219
134,202
496,214
131,125
84,423
450,479
32,384
74,409
446,284
213,476
434,111
32,249
123,445
329,79
480,12
18,275
99,429
406,41
71,169
111,499
194,425
40,475
307,344
192,431
444,416
61,345
367,34
165,143
280,487
231,413
215,133
76,106
412,395
484,310
382,486
95,375
88,155
395,130
207,461
99,279
297,402
352,97
370,193
56,66
282,34
443,369
76,261
343,114
166,212
475,356
482,50
213,303
350,250
89,130
121,364
203,247
12,114
142,147
235,499
232,432
414,459
433,366
374,358
111,368
387,118
59,265
198,496
165,13
380,9
69,456
467,366
159,362
68,251
457,440
443,272
252,29
403,89
254,112
432,258
453,210
198,85
321,159
157,331
301,373
312,279
279,488
81,456
423,148
293,408
335,499
430,66
450,379
67,381
184,32
416,107
172,302
131,144
51,153
485,64
267,461
17,236
429,433
178,391
411,222
402,290
326,207
330,232
481,318
327,58
361,472
356,50
130,168
212,302
140,292
22,163
426,198
353,344
199,302
166,394
206,131
433,340
344,260
55,428
354,292
494,341
310,483
194,428
196,71
250,233
99,225
227,319
360,451
343,105
173,225
292,115
107,150
415,257
433,184
194,40
438,88
118,416
6,198
120,490
125,358
195,60
393,405
214,104
220,446
408,28
399,384
355,493
311,164
318,226
81,287
485,153
65,452
484,294
289,437
58,429
229,327
265,72
40,421
17,425
55,463
356,174
444,261
136,288
219,185
491,120
73,281
354,482
34,154
156,463
162,146
155,59
240,384
107,324
207,200
74,144
288,256
15,138
179,106
4,455
77,382
52,114
107,241
483,233
78,28
234,161
230,253
218,481
12,248
104,117
335,199
189,267
385,123
490,30
244,36
440,371
438,277
57,205
183,402
354,445
494,360
285,361
122,414
38,417
423,361
69,10
251,196
322,278
41,9
267,232
427,332
255,47
495,347
133,438
234,408
304,54
455,360
58,235
316,426
269,151
119,356
402,216
428,29
234,370
395,33
478,38
423,226
288,204
272,164
271,12
155,388
498,293
145,24
19,243
58,149
134,450
14,471
301,247
34,295
176,85
312,405
21,442
25,480
248,341
444,399
321,45
208,276
68,79
150,473
149,397
308,468
157,55
203,243
369,267
412,342
346,477
150,373
65,244
328,41
199,476
205,174
157,259
195,292
267,165
402,424
145,293
155,28
460,130
291,277
475,375
110,462
278,57
481,6
415,80
440,411
485,377
96,286
276,203
314,122
35,116
39,247
247,113
301,382
197,452
244,54
280,252
266,258
206,41
127,209
65,86
129,393
159,6
258,156
364,303
137,435
350,337
74,210
254,324
126,347
102,359
54,373
83,109
390,137
159,345
365,135
55,464
9,203
306,74
80,424
49,284
272,439
499,35
472,63
0,434
125,205
363,197
66,207
379,467
466,261
300,305
448,464
277,11
352,177
317,406
264,416
83,365
59,390
81,83
37,39
93,65
88,164
457,57
412,318
7,114
361,93
246,317
262,333
392,179
305,67
186,243
143,270
423,2
136,149
362,392
291,493
373,248
497,18
150,166
180,13
338,68
173,31
348,83
209,200
84,208
333,196
248,81
481,299
310,97
23,100
33,299
249,178
414,193
202,374
399,132
340,50
131,402
490,161
308,59
313,207
38,242
375,155
155,487
214,432
297,43
152,402
223,5
483,199
464,196
6,217
151,248
94,209
486,444
479,468
418,164
43,401
98,110
477,478
215,472
248,396
358,2
6,269
73,180
41,43
415,475
494,181
421,336
137,466
395,188
472,259
154,108
168,397
90,263
102,480
371,405
59,421
13,471
209,8
240,34
95,29
203,292
68,106
480,233
214,130
410,267
64,348
438,425
414,385
296,8
191,436
82,241
472,381
106,389
269,363
460,428
451,236
190,112
355,242
61,143
74,228
491,196
249,444
463,174
109,212
184,62
245,137
198,432
126,126
283,149
414,295
159,423
342,261
141,191
106,96
221,362
283,495
397,30
157,29
110,340
409,13
458,117
234,317
215,98
449,349
190,117
6,253
187,275
256,496
284,258
38,256
373,460
374,278
77,109
272,459
236,432
202,476
189,353
278,19
395,2
3,157
46,110
261,203
64,66
302,142
88,108
32,325
338,350
239,113
129,355
65,423
184,338
437,29
235,439
317,64
498,161
336,263
177,444
91,300
53,332
327,237
0,81
346,103
373,80
89,436
480,306
9,486
188,375
222,18
206,211
36,218
308,340
198,215
1,336
11,432
347,359
489,64
332,23
88,397
322,356
262,329
419,270
11,335
118,254
33,140
407,177
297,6
196,346
305,173
89,412
286,213
78,149
127,448
96,245
494,276
394,485
487,249
12,222
101,170
62,318
139,444
308,104
349,181
380,234
265,248
118,215
341,483
52,209
376,487
421,320
133,336
181,289
322,494
314,427
301,434
427,41
37,359
129,485
229,349
329,181
465,449
288,442
353,441
25,192
497,32
400,343
53,52
482,348
411,171
7,295
198,482
219,431
441,20
419,40
182,458
7,350
481,227
425,37
126,239
350,469
360,11
495,167
457,185
12,180
254,393
61,44
46,471
116,104
8,238
12,298
437,160
310,399
154,415
86,252
29,373
254,223
457,99
135,6
85,221
23,150
386,373
18,346
230,114
332,477
44,396
106,93
137,371
476,257
253,127
33,110
223,225
272,239
456,271
366,477
400,468
304,431
182,315
490,387
145,346
239,245
31,316
59,54
11,101
275,300
7,265
133,138
438,388
483,158
66,452
293,391
51,114
137,275
41,181
226,211
153,132
249,374
215,486
291,356
454,177
104,193
267,75
135,278
281,378
32,10
219,242
194,270
446,173
456,489
357,366
