x,y
164,31
326,169
116,242
264,238
437,130
276,137
95,410
14,429
84,191
16,479
148,236
287,180
97,235
452,311
316,27
273,423
153,300
335,233
287,227
431,174
29,89
19,274
100,216
330,392
214,307
89,483
151,0
427,486
139,45
37,454
433,458
33,165
307,300
6,148
126,23
157,158
258,304
68,120
248,288
106,82
88,377
249,249
95,465
349,356
115,31
82,486
305,139
240,2
408,309
423,295
379,405
322,37
456,269
269,247
45,472
115,65
64,137
256,146
217,432
280,206
490,358
267,258
126,204
177,130
37,87
272,128
389,18
135,274
140,498
194,275
79,265
171,75
365,105
192,237
212,391
179,211
362,481
305,286
232,394
382,294
457,180
241,29
169,114
346,183
420,166
459,111
57,198
356,481
428,365
180,179
232,424
157,420
149,182
446,394
348,243
202,213
466,24
313,197
497,52
238,184
462,216
192,450
19,302
437,62
309,138
314,222
456,89
123,204
482,183
494,302
298,150
172,444
428,59
91,299
242,412
145,303
464,18
377,27
276,222
275,140
365,4
297,251
182,163
365,200
494,187
316,97
86,469
365,177
420,400
220,452
343,57
126,358
476,27
49,105
346,38
12,96
45,426
18,48
137,24
166,347
66,304
305,240
496,451
171,366
220,180
334,166
157,373
480,286
424,265
282,471
120,242
73,153
303,414
122,250
180,349
35,375
472,38
202,82
170,460
172,278
2,222
160,322
137,332
11,406
499,101
371,141
35,66
242,160
39,128
237,318
74,488
154,432
456,364
408,9
265,109
195,367
82,258
27,416
284,332
435,260
270,36
304,101
425,229
323,305
205,150
69,248
36,453
21,284
400,479
31,43
103,242
325,25
193,106
73,57
368,21
385,6
284,447
498,403
244,206
10,124
242,427
469,470
339,371
110,261
123,19
105,211
34,335
18,444
113,207
275,499
408,258
130,97
473,97
258,196
367,271
424,450
119,483
171,252
17,39
114,94
74,71
473,458
300,385
488,131
304,170
120,368
162,477
344,499
161,373
212,117
348,254
480,190
448,255
63,313
401,358
155,390
84,451
142,284
372,81
316,279
383,115
423,210
206,34
62,326
196,172
289,432
78,161
67,396
68,31
488,187
194,291
166,61
468,394
369,286
252,192
323,314
319,133
492,203
183,108
228,359
251,407
256,425
397,236
186,277
280,228
226,419
220,105
460,408
477,366
406,191
135,160
15,148
49,194
92,396
8,35
322,106
445,121
106,330
185,362
421,429
383,52
222,234
27,132
483,26
400,231
447,78
479,196
344,110
80,387
372,74
111,429
372,81
223,495
8,321
455,249
219,339
311,160
220,425
14,364
148,134
134,326
92,461
339,285
94,45
45,160
28,487
461,341
279,38
54,248
5,452
57,423
40,380
298,156
47,266
319,332
226,303
293,27
262,91
94,487
98,372
24,335
175,219
185,111
145,78
34,26
196,0
265,413
288,216
420,495
386,375
407,286
61,369
321,33
111,255
389,270
288,252
152,197
97,252
346,426
265,208
469,125
195,489
467,394
230,133
246,395
382,187
150,50
35,428
342,302
202,134
275,459
497,347
167,262
96,172
399,311
355,88
276,112
302,352
497,59
110,388
356,267
116,221
246,67
389,258
61,111
425,131
86,447
1,115
39,235
298,427
227,75
487,52
392,175
439,87
96,83
46,284
39,268
264,221
351,482
208,230
139,33
431,50
123,458
204,119
177,191
304,223
445,361
310,240
374,406
470,11
283,494
496,113
305,222
246,384
474,257
405,179
33,293
116,222
408,273
368,495
469,4
231,300
336,249
10,22
489,22
56,106
319,28
390,98
78,343
412,310
235,382
78,5
77,127
132,363
22,151
416,76
44,4
376,258
364,215
109,453
115,439
126,467
117,247
315,378
336,426
296,112
278,231
499,122
131,491
185,118
406,30
93,277
398,183
443,226
31,342
369,289
356,441
276,28
81,252
384,109
305,90
213,349
33,98
346,489
438,306
303,368
246,298
356,11
308,367
52,230
162,187
199,399
406,78
224,84
204,29
51,126
44,225
310,251
285,234
472,400
264,343
321,78
397,92
118,165
220,352
306,339
371,3
179,211
492,397
372,248
21,75
403,232
175,354
202,497
477,484
215,299
246,13
18,125
280,396
477,89
132,478
286,95
191,175
64,84
362,88
177,449
190,43
470,299
470,274
80,365
136,74
189,203
128,290
190,262
73,135
361,300
222,228
143,9
15,180
261,71
354,120
347,81
432,95
159,248
480,247
143,101
7,217
295,329
479,39
486,110
358,435
357,394
398,287
69,257
179,204
219,357
265,200
147,478
39,286
120,349
26,270
89,313
349,65
192,433
180,24
446,427
371,210
23,433
419,371
341,483
53,1
488,218
6,19
146,324
235,337
223,106
261,54
359,84
76,212
247,197
149,270
22,486
277,298
133,398
158,24
27,95
434,126
132,10
109,133
410,341
393,426
242,149
420,120
225,381
68,298
456,176
363,365
44,11
39,147
254,386
402,330
90,166
304,12
463,116
332,449
84,121
36,246
483,97
55,396
282,294
245,208
137,200
106,270
306,251
393,353
252,315
251,215
256,173
474,71
323,147
426,283
2,499
13,227
484,106
498,344
422,60
79,292
202,141
441,365
63,51
419,187
145,64
415,56
166,134
111,103
291,162
179,255
307,258
339,286
239,173
381,46
130,29
373,140
216,334
493,493
295,241
231,264
357,442
246,137
341,338
195,327
231,147
68,196
70,9
277,123
306,368
351,392
155,242
107,329
493,33
246,66
121,96
282,407
140,399
183,403
36,307
302,102
257,386
374,415
242,452
313,434
227,274
324,229
284,99
449,91
177,307
355,69
224,77
385,397
122,426
2,265
421,136
117,336
177,368
59,317
487,147
142,116
370,236
442,284
261,205
37,474
313,459
293,119
401,130
329,43
477,401
168,103
228,454
409,286
83,85
222,374
190,167
213,62
228,82
429,46
226,423
124,195
406,42
374,154
310,279
191,292
499,140
32,212
282,256
100,194
319,39
140,315
353,219
398,125
196,194
79,72
159,311
409,361
270,295
79,169
347,126
127,315
364,172
268,171
424,215
326,406
13,357
428,499
114,73
57,340
445,218
445,171
47,280
387,173
421,169
225,477
98,236
247,409
6,284
108,177
45,362
243,288
354,266
362,210
259,365
51,76
158,122
452,352
361,363
381,106
423,256
394,498
44,107
